Domain Name,Ref Code,Ref Description
COUNTRYCODE,-,-
COUNTRYCODE,AFGH,Afghanistan
COUNTRYCODE,ALAB,Alabama
COUNTRYCODE,ALAN,Åland Islands
COUNTRYCODE,ALAS,Alaska
COUNTRYCODE,ALBA,Albania
COUNTRYCODE,ALBE,Alberta
COUNTRYCODE,ALGE,Algeria
COUNTRYCODE,AMER,American Samoa
COUNTRYCODE,ANDO,Andorra
COUNTRYCODE,ANGO,Angola
COUNTRYCODE,ANGU,Anguilla
COUNTRYCODE,ANTA,Antarctica
COUNTRYCODE,ANTI,Antigua and Barbuda
COUNTRYCODE,ARGE,Argentina
COUNTRYCODE,ARIZ,Arizona
COUNTRYCODE,ARKA,Arkansas
COUNTRYCODE,ARME,Armenia (Republic)
COUNTRYCODE,ARMES,Armenian S.S.R.
COUNTRYCODE,ARUB,Aruba
COUNTRYCODE,ASHM,Ashmore and Cartier Islands
COUNTRYCODE,AUS,Australia
COUNTRYCODE,AUST,Austria
COUNTRYCODE,AZER,Azerbaijan
COUNTRYCODE,BAHA,Bahamas
COUNTRYCODE,BAHR,Bahrain
COUNTRYCODE,BANG,Bangladesh
COUNTRYCODE,BARB,Barbados
COUNTRYCODE,BELA,Belarus
COUNTRYCODE,BELG,Belgium
COUNTRYCODE,BELI,Belize
COUNTRYCODE,BENI,Benin
COUNTRYCODE,BERM,Bermuda Islands
COUNTRYCODE,BHUT,Bhutan
COUNTRYCODE,BOLI,Bolivia
COUNTRYCODE,BOSN,Bosnia and Herzegovina
COUNTRYCODE,BOTS,Botswana
COUNTRYCODE,BOUV,Bouvet Island
COUNTRYCODE,BRAZ,Brazil
COUNTRYCODE,BRIT,British Columbia
COUNTRYCODE,BRITI,British Indian Ocean Territory
COUNTRYCODE,BRITV,British Virgin Islands
COUNTRYCODE,BRUN,Brunei
COUNTRYCODE,BULG,Bulgaria
COUNTRYCODE,BURK,Burkina Faso
COUNTRYCODE,BURM,Burma
COUNTRYCODE,BURU,Burundi
COUNTRYCODE,BYEL,Byelorussian S.S.R.
COUNTRYCODE,CALI,California
COUNTRYCODE,CAMB,Cambodia
COUNTRYCODE,CAME,Cameroon
COUNTRYCODE,CANA,Canada
COUNTRYCODE,CANAZ,Canal Zone
COUNTRYCODE,CANT,Canton and Enderbury Islands
COUNTRYCODE,CAPE,Cape Verde
COUNTRYCODE,CAYM,Cayman Islands
COUNTRYCODE,CENT,Central and Southern Line Islands
COUNTRYCODE,CENTA,Central African Republic
COUNTRYCODE,CHAD,Chad
COUNTRYCODE,CHAN,Channel Islands
COUNTRYCODE,CHIL,Chile
COUNTRYCODE,CHIN,China
COUNTRYCODE,CHRI,Christmas Island (Indian Ocean)
COUNTRYCODE,COCO,Cocos (Keeling) Islands
COUNTRYCODE,COLO,Colombia
COUNTRYCODE,COLOR,Colorado
COUNTRYCODE,COMO,Comoros
COUNTRYCODE,CONG,Congo (Brazzaville)
COUNTRYCODE,CONGR,Congo (Democratic Republic)
COUNTRYCODE,COOK,Cook Islands
COUNTRYCODE,COST,Costa Rica
COUNTRYCODE,CROA,Croatia
COUNTRYCODE,CUBA,Cuba
COUNTRYCODE,CW,Curacao (Kingdom of the Netherlands)
COUNTRYCODE,CYPR,Cyprus
COUNTRYCODE,CZEC,Czech Republic
COUNTRYCODE,CÔTE,Côte d'Ivoire
COUNTRYCODE,DELA,Delaware
COUNTRYCODE,DENM,Denmark
COUNTRYCODE,DIST,District of Columbia
COUNTRYCODE,DJIB,Djibouti
COUNTRYCODE,DOMI,Dominica
COUNTRYCODE,DOMIR,Dominican Republic
COUNTRYCODE,DUBAI,Dubai
COUNTRYCODE,ECUA,Ecuador
COUNTRYCODE,EGYP,Egypt
COUNTRYCODE,ELS,El Salvador
COUNTRYCODE,EQUA,Equatorial Guinea
COUNTRYCODE,ERIT,Eritrea
COUNTRYCODE,ESTO,Estonia
COUNTRYCODE,ETHI,Ethiopia
COUNTRYCODE,FALK,Falkland Islands
COUNTRYCODE,FARO,Faroe Islands
COUNTRYCODE,FIJI,Fiji
COUNTRYCODE,FINL,Finland
COUNTRYCODE,FLOR,Florida
COUNTRYCODE,FRAN,France
COUNTRYCODE,FREN,French Guiana
COUNTRYCODE,FRENP,French Polynesia
COUNTRYCODE,FRST,French Southern Territories
COUNTRYCODE,GABO,Gabon
COUNTRYCODE,GAMB,Gambia
COUNTRYCODE,GAZA,Gaza Strip
COUNTRYCODE,GEOR,Georgia
COUNTRYCODE,GEORR,Georgia (Republic)
